id,Name,Area,Link Area,Latitude,Longitude,Overview,Image,Tags
11,September 23rd Park,"Pham Ngu Lao Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/yG8BuaxACUhs2ESv8,10.76873775,106.6923427,"September 23rd Park is one of Ho Chi Minh City’s most popular attractions, drawing both locals and tourists. Covered in lush greenery, the park offers a peaceful escape amid the city’s vibrant energy. Visitors can take a walk, exercise, or simply relax and enjoy the scenery. Beneath the park lies Taka Plaza and Asiana Food Town — a shopping and dining paradise. During festivals, it becomes a lively venue for cultural events, music, and fairs. It’s the perfect place to experience the youthful and dynamic spirit of Saigon.",https://statics.vinpearl.com/cong-vien-23-9-4_1633514794.jpg,#FewHours #LateAfternoon #Walk #Chill #Outdoor #NearPark #Relaxed #BudgetFriendly
12,Vee Ayy Food,"345/84 Tran Hung Dao Street, Cau Kho Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/J9tjaSsVB3jf3Ysc8,10.76050291,106.6896829,"This article by Quán Số highlights their partnership with the Vee Ayy Food Restaurant chain, a popular dining spot trending among young people. The restaurant stands out for its luxurious, palace-like interior, offering many ""Instagrammable"" photo corners, along with a diverse menu of high-quality, reasonably priced European and Asian dishes. The chain currently operates two branches in Ho Chi Minh City. Quán Số is proud to provide their DRS Manager Sales Management Software along with other solutions like DRS Staff (remote ordering) and QS Admin (remote management) to help Vee Ayy Food run operations and serve customers optimally. Quán Số pledges to continue developing the best possible solutions for business management.",https://thicongnhahang.vn/storage/app/media/-------------123Thang5/Vee%20Ayy%20Food/thiet-ke-vee-ayy-food-10.jpg,#Moment #Evening #Eat #MeetUp #Indoor #WarmLights #Cozy #Fair
13,miya sushi & bbq,"150/43A Nguyen Trai Street, Ben Thanh Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/J3VkWZk9qjVA8seG6,10.77029593,106.6900822,"Miya Sushi & BBQ is a well-known Japanese restaurant chain offering a unique fusion of the refined flavors of fresh Sushi and Sashimi with the appeal of tableside BBQ dishes. The restaurant features a cozy and elegant atmosphere, reflecting the culture of the Land of the Rising Sun, making it perfect for dates, family gatherings, and friends' meetups. Miya's menu is highly diverse, ranging from traditional Sushi rolls, Ramen, and Udon to Japanese rice sets and BBQ items marinated in special sauces. With its focus on fresh, high-quality ingredients and meticulous preparation, Miya Sushi & BBQ is an ideal destination for Saigon's food enthusiasts seeking an authentic and memorable Japanese culinary experience at a reasonable price point.",https://pasgo.vn/Upload/anh-chi-tiet/miya-sushi-and-bbq-nguyen-trai-slide-9-normal-129951313766.webp,#Moment #Evening #Eat #MeetUp #Indoor #CozyCorner #Warm #Fair
14,My Son Quang Noodles,"38B Dinh Tien Hoang Street, Da Kao Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/oTmWmgaDx1r1qyUT6,10.78918435,106.6990577,"My Son Quang Noodles is a popular spot in District 1, celebrated for its authentic Quang-style noodles from Central Vietnam. The restaurant draws diners with its soft, white rice noodles bathed in a minimal yet rich and flavorful broth, seasoned with a distinct recipe. The bowls are generously filled with diverse toppings, most commonly shrimp and pork, free-range chicken, or snakehead fish, served with roasted peanuts, fragrant fried shallots, and crispy rice crackers. The restaurant's ambiance is typically simple, airy, with warm tones, subtly evoking the rustic charm of the ancient town of Hội An. Mì Quảng Mỹ Sơn is an excellent choice for anyone seeking the traditional flavors of Quảng Nam right in the heart of bustling Saigon.",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdaqznhyz154f@resize_w800,#Moment #Noon #Eat #FoodTrip #Indoor #SmallCafe #Simple #Affordable
15,Back of the Bike Tours – Ho Chi Minh City Food Tours,"72 Le Thanh Ton Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/WhzFKCqx1KMs5xBFA,10.77828652,106.7020124,"Back of the Bike Tours is one of the leading companies in HCMC, specializing in food and cultural tours conducted via motorbikes. The unique concept has guests riding pillion with a local guide, venturing deep into hidden alleys, residential areas, and ""secret"" eateries that tourists would rarely discover on their own. The tours are highly praised for their safety, friendly staff, and ability to help visitors authentically experience the vibrant pulse of Saigon traffic. The meticulously curated food menu features a blend of classic and unique dishes, ensuring a complete and exciting culinary journey through the flavors of Saigon.",https://e9h6jba7255.exactdn.com/wp-content/uploads/2023/08/Saigon-Motorbike-Food-tour.jpg?strip=all&lossy=0&ssl=1,#Moment #Evening #Eat #Explore #Outdoor #Crowded #Fun #Price
16,Chu Chen's Rib Porridge & Char Siu Rice,"281 Nguyen Trai Street, Nguyen Cu Trinh Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/sR2P3eZYPbVCPwTy5,10.76454867,106.6868951,"Chu Chen's Rib Porridge and Char Siu Rice is a popular Taiwanese-style food chain, best known for its unique Taiwanese Rib Porridge. The porridge is characterized by its exceptionally smooth, velvety texture, cooked until creamy, and served with tender baby ribs and century eggs or various other toppings. Additionally, the restaurant offers delicious Char Siu Rice, featuring intensely marinated and roasted char siu pork prepared with a secret recipe, accompanied by a signature sauce and soft rice. With its novel, authentic street food flavor from Taiwan, Chu Chen is an ideal destination for those looking for a different taste and wishing to enjoy a hot, nutritious meal right in the heart of Saigon.",https://chaosuonchuchen.vn/wp-content/uploads/2024/09/khong-gian-3.webp,#Moment #LateNight #Eat #Snack #Indoor #SmallCafe #Warm #Cheap
17,Bento Dino,"134/3/1 Bui Thi Xuan Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/ANUAM2ZKFv3oBWyH7,10.77015115,106.6875623,"Bento Dino is a popular eatery in the heart of District 1, well-known for its Crispy Fried Chicken Rice and affordable, high-quality office lunch options. The restaurant attracts numerous students and office workers by blending traditional Vietnamese flavors with a modern, clean presentation, resembling the convenient Bento box style. Their signature fried chicken is specially prepared, featuring a golden, crispy skin served alongside dry, fragrant, and non-greasy fried rice grains. Bento Dino also stands out with a diverse menu, including pork chop, stir-fried beef, and fish, along with frequent appealing promotions. It is an ideal choice for a quick, delicious, and fulfilling lunch.",https://mms.img.susercontent.com/vn-11134513-7r98o-lsv7er7da1sp7f@resize_ss1242x600!@crop_w1242_h600_cT,#Moment #Noon #Eat #Work #Indoor #SmallCafe #Simple #Affordable
18,Hua Wu Lou,"83B Bui Thi Xuan Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/woean2yPGvr2pQjq7,10.7682207,106.6869187,"Hua Wu Lou (Dimsum Street) is a popular restaurant chain featuring a distinctive Chinese street-food and restaurant style, specializing in delicious Dimsum dishes. The restaurant attracts diners with its diverse menu, ranging from classics like Shrimp Dumplings, Siu Mai, and Steamed Chicken Feet with Black Bean Sauce to unique items such as Baked Crab Shell with Cheese or Hand-held Shrimp Vermicelli. The Dimsum here is praised for retaining its authentic flavor, with fresh, thin wrappers and generous fillings, always served piping hot. Hua Wu Lou also offers convenient lunch sets, perfect for office workers. With a cozy interior featuring traditional decor, it is an ideal spot to savor the best of Hong Kong cuisine at a reasonable price point in central Saigon.",https://top10hcmcity.com/wp-content/uploads/2024/09/405300662_830699422397803_7229603233776615594_n.jpg,#Moment #Evening #Eat #MeetUp #Indoor #VintageStyle #Cozy #Fair
19,Di Nam Sa Dec's Hu Tieu Sa Dec and Banh Tam,"166 Bui Thi Xuan Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City, VIetnam",https://maps.app.goo.gl/JCrS4nYcMSS9fRxb7,10.76832167,106.686532,"Di Nam Sa Dec's Hu Tieu Sa Dec and Banh Tam is a renowned eatery in District 1 that embodies the authentic culinary spirit of the Mekong Delta, specializing in two famous dishes: Sa Dec Noodle Soup and Banh Tam. Their Sa Dec Hủ Tiếu is beloved for its distinctively chewy yet soft noodles, clear and naturally sweet broth made from simmered bones, and fresh toppings. Conversely, Bánh Tằm Bì is a unique dish featuring thick, chewy rice noodles, finely sliced pork skin, and spring rolls, topped with rich coconut milk and a sweet-and-sour fish sauce. The shop attracts diners with its genuine, rustic Sa Dec flavors, creating the feeling of dining right in the Mekong Delta region. Di Nam Sa Dec is the perfect place to experience the richness of Southern Vietnamese cuisine.",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwwojxp9q0nt08,#Moment #Morning #Eat #FoodTrip #Indoor #SmallCafe #Friendly #Affordable
20,Pho Hien 1985,"269A Nguyen Trai Street, Nguyen Cu Trinh Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/bDapetYPLTC1hnzD6,10.76429202,106.6874213,"Pho Hien 1985 is a time-honored traditional Pho restaurant, famous in District 1, having served patrons for decades. The shop is beloved for faithfully preserving the traditional Northern Pho flavor, featuring a clear, naturally sweet broth simmered from beef bones for hours, subtly fragrant with herbs and spices. Pho Hien specializes in various beef Pho options, ranging from rare beef, flank, and brisket to the premium beef shank (loi rua). The rice noodles are soft and tender, the beef slices are fresh and high-quality, served with crispy quay (fried dough) and fresh herbs. Pho Hien 1985 is not just a place to eat, but a keeper of traditional culinary culture, making it an ideal choice for anyone seeking an authentic and comforting bowl of Pho.",https://img.mservice.com.vn/common/u/05e07d15ed1a84ee51cdfe60756960e55412b5dcd748a2e496a53522eb6597fa/3fb11ab3-a0eb-4daf-b7b8-244b79307b87upwq1jgg.jpg,#Moment #EarlyMorning #Eat #FoodTrip #Indoor #VintageStyle #Warm #Fair
21,Ancient Hue Beef Noodle Soup,"148 Bis Le Thi Rieng Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/17XzsvS2diUJ2LkCA,10.77094081,106.6896449,"Bun Bo Hue Xua is a popular restaurant chain that brings the traditional flavors of Bun Bo Hue (Hue Beef Noodle Soup) to the heart of Saigon. The eatery is favored by patrons for its high-quality bowls that perfectly capture the richness and spicy zest characteristic of Hue cuisine. The broth is slow-simmered, fragrant with lemongrass and fermented shrimp paste, creating a distinctive and memorable taste. The generous bowls are loaded with various toppings, including beef, pork hock, crab paste patties, and blood pudding, catering to all preferences. With a clean, cozy atmosphere and affordable prices, Bun Bo Hue Xua is a frequent stop for both locals and tourists seeking an authentic and comforting taste of the ancient Imperial city.",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbts798oyxl6d@resize_w800,#Moment #Morning #Eat #FoodTrip #Indoor #SmallCafe #Warm #Fair
22,Cong Quynh Mixed Rice Paper,"125 Cong Quynh Street, Nguyen Cu Trinh Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/cu4Fw3ZSTrD3HxK47,10.76607355,106.6896545,"Cong Quynh Mixed Rice Paper (Banh Trang Tron Cong Quynh) is one of the most famous and longest-running street food stalls in District 1, often dubbed a culinary ""paradise"" for Saigon's youth and office workers. The popular snack is a delightful mix of textures and flavors, centered around chewy strips of rice paper. It’s characterized by the perfect balance of the sourness from shredded green mango, the savory richness of dried beef and quail eggs, and a spicy kick from chili paste. The stall's secret lies in its generous, flavorful toppings and the fragrant aroma from fried shallots and roasted peanuts. Located on Cong Quynh street, this spot perfectly embodies the creative, delicious, and highly affordable street food culture that Saigon is famous for, making it an essential local experience.",https://cdn.tgdd.vn/Files/2022/01/03/1408664/6-dia-diem-ban-banh-trang-quan-1-ngon-nhat-nhi-sai-gon-202201030055128795.jpg,#Moment #LateAfternoon #Snack #Eat #Outdoor #Crowded #Fun #Cheap
23,Nguyen Hue Flower Street,"6 Nguyen Hue Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/dww36EL73ULVg9oF8,10.77189045,106.706142,"Nguyen Hue Flower Street (Duong Hoa Nguyen Hue) is an annual floral art event that transforms the Nguyen Hue Pedestrian Street in District 1 into a vibrant, giant flower park every Lunar New Year (Tet) holiday. This installation has become a new cultural symbol of Ho Chi Minh City since 2004. The Flower Street is designed with a different theme each year, usually featuring the corresponding Zodiac animal (e.g., the Dragon for the Year of the Dragon) and conveying messages of reunion, peace, and prosperity. The street typically opens to the public for about seven days (from the 28th day of the Lunar December to the 5th day of Tet) and attracts millions of visitors who come to admire and photograph the stunning floral displays, making it an indispensable part of Saigon's festive atmosphere.",https://hoangkimlandscape.com/image/catalog/5.%20BLOG/4-DUONG-HOA-NGUYEN-HUE-MOT-TRONG-NHUNG-BIEU-TUONG-CUA-SAI-GON-MOI-DO-XUAN-VE/I-LICH-SU-NET-VAN-HOA-TRUYEN-THONG-1/duong-hoa-nguyen-hue-nam-mau-tuat.jpg,#FewHours #HolidayMood #Walk #PhotoSpot #Outdoor #Crowded #Happy #BudgetFriendly
24,Ngo Nho Pho Nho's Bun Dau,"158 Pasteur Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/FGtfC7MrdJEmyXdP9,10.77739206,106.6998789,"Bun Dau Ngo Nho Pho Nho is a well-known eatery in District 1, faithfully bringing the distinct flavors of Hanoi's street food to Saigon. The restaurant is famous for its generous and fresh platter of Bun Dau Mam Tom (Rice Vermicelli with Tofu and Fermented Shrimp Paste), which includes rice vermicelli, hot crispy fried tofu, thit chan gio luoc (boiled pork knuckle), cha com (green rice flake sausage), and pork sausage. The crucial highlight is the Mam Tom (fermented shrimp paste) dipping sauce, expertly mixed with a balanced blend of sour, spicy, and sweet flavors. The restaurant's ambiance is cozy, recreating the feel of Hanoi's ancient small alleys and small streets (Ngo Nho, Pho Nho). This is an ideal choice for food lovers seeking authentic Northern Vietnamese cuisine.",https://img.mservice.com.vn/common/u/2e02fb5fe4f64fb55bc713540643c6f8eae702d101cea8c59afc49cfc505fc37/11b0291a-8982-4c5b-8b37-e27a2180968d9_bywklx,#Moment #Noon #Eat #MeetUp #Indoor #VintageStyle #Cozy #Fair 
25,Ba Son Harbour Park,"2 Ton Duc Thang Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/PFyUSmor98GsvBdE7,10.78600933,106.7133262,"Ba Son Harbour Park is located on the historic site of the former Ba Son Shipyard, right along the Saigon River in central District 1. Regarded as a ""new public square"" and a green riverside space, the park is a key component of the Grand Marina Saigon and Vinhomes Golden River complex. It offers a tranquil, green oasis, providing a complete escape from the urban hustle. The park is renowned for its spectacular panoramic views overlooking the Thu Thiem Peninsula and the surrounding skyscrapers of District 1. Ba Son Harbour Park is an ideal spot for catching the sunrise, morning exercise, and serves as a picturesque, romantic check-in location, marking the convergence of historical heritage and modern urban architecture.",https://mia.vn/media/uploads/blog-du-lich/cau-ba-son-thiet-ke-1736564498.jpg,FewHours #Walk #Chill #Outdoor #ByRiver #Peaceful #BudgetFriendly
26,Kim’s Tavern,"20 Huynh Thuc Khang Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/HW7HCUWj2bbntYiD7,10.77332752,106.7027133,"Kim's Tavern is a vibrant bar located in the heart of District 1, known as a ""hidden gem"" that harmoniously blends a lively atmosphere with exceptional service. The tavern is highly favored for its warm, engaging ambiance and its friendly, attentive staff. Kim's Tavern offers a diverse selection of drinks, ranging from beautifully crafted cocktails to various beers and spirits. The venue often hosts activities and engaging interactions with its patrons, creating a relaxed yet exciting environment. It is an ideal nightlife spot for socializing, unwinding, and experiencing the vibrant energy of Saigon after dark.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/93/11/7f/busy-busy-busy.jpg?w=800&h=-1&s=1,#LongTime #Evening #Drink #Eat #Indoor #WarmLights #Friendly #Fair #FoodLover
27,Dao Snail,"212B/D28 Nguyen Trai Street, Nguyen Cu Trinh Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/o6B1t4UNpsz2gL3F7,10.77040703,106.6898528,"Oc Dao is one of the most famous and longest-running snail and seafood shops in District 1, having even earned recognition in the prestigious MICHELIN Selected list. The eatery draws crowds with its extensive menu of fresh Oc (snails and shellfish), cooked in various signature Saigon styles. Famous dishes include Oc Huong rang muoi ot (Sweet Snails stir-fried with chili salt), Oc Mo xao bo toi (Fat Snails with butter and garlic), and So Diep nuong mo hanh (Grilled Scallops with scallion oil). Oc Dao retains its loyal customer base due to its intensely flavorful dishes, meticulously prepared sauces, and its characteristic sizzling cast iron pan that keeps the food hot. With its bustling, casual atmosphere, it is the perfect place to experience Saigon's vibrant street food culture after dark.",  https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/d7/f6/0e/in-front-of-the-oc-dao.jpg?w=900&h=500&s=1,#Moment #Night #Eat #MeetUp #Outdoor #Crowded #Energetic #Fair
28,The Kitchen of Luc Tinh,"37 Nam Ky Khoi Nghia Street, Nguyen Thai Binh Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/eJ5sqBY2svfRbMGMA,10.76991887,106.7015935,"Bep Nha Luc Tinh is a renowned restaurant in District 1 specializing in traditional Southern Vietnamese cuisine (from the historic Six Provinces). The restaurant features a spacious and airy ambiance, completely separated from the street noise, with a rustic design that strongly evokes the Mekong Delta region, including a water model and outdoor seating. The menu is diverse, focusing on authentic, simple dishes such as kho quet (caramelized fish sauce dip), canh chua (sour soup), and lau mam (fermented fish hotpot), all prepared with true regional flavors. With its elegant and polite atmosphere, Bep Nha Luc Tinh is an ideal venue for family gatherings, business meetings, or hosting international guests to experience the rich and authentic taste of Vietnamese cuisine.",https://www.viettiles.com/upload/ckfinder/images/bep-nha-luc-tinh-restaurant-hcmc-vietnam2.jpg,#Moment #Evening #Eat #MeetUp #Indoor #VintageStyle #Warm #Fair
29,Quan Ngon 138 – Vietnamese Food,"138 Nam Ky Khoi Nghia Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/JXTrEt8qD9spJmF88,10.7778008,106.6975438,"Quan Ngon 138 is a prominent restaurant located in central District 1, serving as a hub for the culinary essence of all three regions of Vietnam (North, Central, and South). With a vast menu featuring over 300 dishes, it is an ideal spot to sample everything from Northern Pho and Bun Cha, Central Mi Quang and Cao Lau, to Southern Banh Xeo and Com Tam (Broken Rice). The restaurant's atmosphere is designed to be cozy and evocative, recreating the look of traditional old streets and rural markets, offering a nostalgic and familiar feel. Quan Ngon 138 caters not only to casual dining but also provides private rooms and party areas with karaoke, making it perfect for business entertaining, banquets, and family gatherings.",https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw98y2cvxzvdf0@resize_ss640x400,#Moment #Evening #Eat #MeetUp #Indoor #GreenPlace #Cozy #Pricey
30,Elixir Lounge Bar,"28B/1 Ngo Van Nam Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam",https://maps.app.goo.gl/E1ScG123k554gSbe6,10.78166176,106.7061077,"Elixir Lounge Bar is a stylish and prominent lounge located in central District 1 (near the Le Thanh Ton Japanese Quarter). The bar attracts a diverse crowd of locals and international tourists, thanks to its blend of a luxurious, intimate setting and a vibrant musical atmosphere. Elixir consistently updates its music trends, featuring genres like House, EDM, and Top 40, supported by a state-of-the-art sound and lighting system that creates a high-energy environment. The bar offers a wide variety of drinks, including cocktails and bottled spirits, alongside various fun entertainment options. With its professional and friendly staff, Elixir is an ideal spot to fully experience the dynamic, upscale nightlife of Saigon.",https://vietnamnightlife.com/uploads/images/2022/10/1666143444-single_product2-elixirloungebarcoverphoto.jpg,#LongTime #Night #Drink #ListenMusic #Indoor #Fun #Pricey
